店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
寿限無 担々麺,中央区日本橋堀留町1-8-15,中央区,3.54,310,9420,［月～金］11:00～16:00 17:30～23:00［土・祝］11:00～16:00 17:30～21:00,［月～金］11:00～16:00 17:30～23:00［土・祝］11:00～16:00 17:30～21:00,"￥1,000～￥1,999",無,16席,無
銀座 篝 六本木ヒルズ店,港区六本木6-4-1 六本木ヒルズ メトロハット ハリウッドプラザ B2F,港区,3.54,292,6714,,,"￥1,000～￥1,999",有,17席,有
煮干し中華そば 江古田 三四郎,練馬区栄町4-7 西村ビル 1F,練馬区,3.54,292,7055,11:30～15:0017:00～22:00スープ売り切れ次第終了。テイクアウトの販売なし。,11:30～15:0017:00～22:00スープ売り切れ次第終了。テイクアウトの販売なし。,～￥999,無,5席,無
らーめん弁慶 堀切店（べんけい）,葛飾区小菅2-21-13,葛飾区,3.54,278,4727,11:00～翌3:00,11:00～翌3:00,～￥999,無,10席,無
イノショウ（INOSHOW）,西東京市東町3-14-5 エミオ保谷 1F,西東京市,3.54,261,3913,10:00～24:00,10:00～24:00,"￥1,000～￥1,999",無,17席,無
上々家,大田区萩中3-4-4 1F,大田区,3.54,261,5167,,,～￥999,有,38席,有
オリオン食堂（おりおんしょくどう）,豊島区南長崎5-15-3,豊島区,3.54,245,5605,[月～水・金～日]11:00～翌6:00[木]11:00～翌2:00毎週火曜日はチャレンジオリオン。その日限定のラーメン、つけ麺。,[月～水・金～日]11:00～翌6:00[木]11:00～翌2:00毎週火曜日はチャレンジオリオン。その日限定のラーメン、つけ麺。,～￥999,無,19席,無
中華そば専門店 勝や（かつや）,世田谷区梅丘1-22-11,世田谷区,3.54,244,7916,11:00～14:3017:30～19:30,11:00～14:3017:30～19:30,～￥999,無,10席,無
らーめん いっとく,文京区千駄木3-49-10,文京区,3.54,241,7847,月曜～土曜11:00～22:30日曜11:00～15:4517:30～22:30,月曜～土曜11:00～22:30日曜11:00～15:4517:30～22:30,"￥1,000～￥1,999",無,17席,無
壱蔵家,新宿区百人町1-23-3,新宿区,3.54,235,5610,,,～￥999,無,11席,無
麺処いのこ 平和台店,練馬区平和台2-52-8,練馬区,3.54,235,7223,,,～￥999,無,8席,無
ふうりゅう 梅島本店,足立区梅田8-3-11,足立区,3.54,229,5041,11:30～14:3017:30～21:30（L.O.21:00）,11:30～14:3017:30～21:30（L.O.21:00）,"￥1,000～￥1,999",無,11席,無
らーめん勝（かつ）,江戸川区篠崎町7-13-20,江戸川区,3.54,227,5274,[月～土]17:00～23:00,[月～土]17:00～23:00,"￥1,000～￥1,999",無,8席,無
とんくる,渋谷区笹塚2-11-7,渋谷区,3.54,215,6131,"[月～土]11:00～15:50 , 17:30〜19:50","[月～土]11:00～15:50 , 17:30〜19:50","￥1,000～￥1,999",無,12席,無
成竜（せいりゅう）,葛飾区東新小岩1-14-5,葛飾区,3.54,212,4894,,,"￥1,000～￥1,999",無,7席,無
四川料理 蜀彩（しょくさい）,世田谷区経堂1-12-10 松原ビル2F,世田谷区,3.54,201,15893,11:30～14:30（L.O.14:00）17:30～22:30（L.O.21:30）,11:30～14:30（L.O.14:00）17:30～22:30（L.O.21:30）,"￥4,000～￥4,999",無,22席,無
鮎ラーメン+ 虎ノ門横丁店,港区虎ノ門1-17-1 虎ノ門ヒルズ ビジネスタワー 3F,港区,3.54,200,5508,11：30〜15：00(L.O.14:30)17：00〜22：00(L.O.21:30)金・土の場合17:00～22:30(L.O.22:00),11：30〜15：00(L.O.14:30)17：00〜22：00(L.O.21:30)金・土の場合17:00～22:30(L.O.22:00),"￥2,000～￥2,999",有,23席,有
札幌味噌らーめん ひつじの木 大森本店,大田区大森北1-3-9 春日ビル 1F,大田区,3.54,197,5631,11:00~21:00,11:00~21:00,"￥1,000～￥1,999",無,19席,無
横濱 本丸亭  新橋店,港区新橋4-15-8 ルグランシェルビル21 1F,港区,3.54,196,4881,,,"￥1,000～￥1,999",無,8席,無
浅草 生田庵（いくたあん）,台東区花川戸1-6-4,台東区,3.54,192,6557,【営業時間】10:00～22:30,【営業時間】10:00～22:30,～￥999,無,13席,無
麺や樽座 小宮店（めんや たるざ）,八王子市小宮町941-1,八王子市,3.54,191,3213,※2023/12〜閉店時間が早まる日がありますm(__)m例:土曜 閉店21:00など月〜土曜 11:30〜23:00（ラストオーダー22:45)日・祝 11:30〜21:00(ラストオーダー20:45)最新の情報は当店のTwitterやInstagramをご確認ください,※2023/12〜閉店時間が早まる日がありますm(__)m例:土曜 閉店21:00など月〜土曜 11:30〜23:00（ラストオーダー22:45)日・祝 11:30〜21:00(ラストオーダー20:45)最新の情報は当店のTwitterやInstagramをご確認ください,～￥999,有,27席,有
輝道家 水道橋駅前店,千代田区神田三崎町2-20-10 勝又ビル 1F,千代田区,3.54,182,4221,11:00～21:00,11:00～21:00,"￥1,000～￥1,999",無,12席,無
