店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
来々軒,江東区東陽3-21-4 ライオンズマンション　1F,江東区,3.69,925,36259,10:30～15:00、17:00～20:00,10:30～15:00、17:00～20:00,"￥1,000～￥1,999",無,15席,無
本家 第一旭 新宿店,新宿区新宿1-13-7 東宝ビル 1F,新宿区,3.69,894,32251,【月曜日〜土曜日】11:00～22:00【日曜日】11:00～18:00,【月曜日〜土曜日】11:00～22:00【日曜日】11:00～18:00,"￥1,000～￥1,999",無,10席,無
たけちゃんにぼしらーめん,調布市布田1-47-1 辰巳ビル 1F,調布市,3.69,892,14359,［月・水・木・金］11:30～14:4518:00～21:45［火・日］11:30～15:15［土］11:30～16:4518:00～21:45スープがなくなりしだい閉店,［月・水・木・金］11:30～14:4518:00～21:45［火・日］11:30～15:15［土］11:30～16:4518:00～21:45スープがなくなりしだい閉店,～￥999,無,32席,無
うさぎ,渋谷区神泉町8-13 アーガス霜田ビル 1F,渋谷区,3.69,871,44406,［月～金］11:30～14:30（L.O.）,［月～金］11:30～14:30（L.O.）,～￥999,無,11席,無
和利道（わりと）,目黒区青葉台3-7-10 Cross One 1F,目黒区,3.69,870,32992,[月・木・金・土・日]11:00～15:30、18:00～21:00[火]11:00～15:30※材料切れ終了する場合有り,[月・木・金・土・日]11:00～15:30、18:00～21:00[火]11:00～15:30※材料切れ終了する場合有り,"￥1,000～￥1,999",無,12席,無
用心棒,千代田区神田神保町2-2-21 土田ビル １Ｆ,千代田区,3.69,832,23344,[月～金]11:00～15:00 (L.O.)17:00～21:00 (L.O.)[土・祝]11:00～15:45 (L.O.),[月～金]11:00～15:00 (L.O.)17:00～21:00 (L.O.)[土・祝]11:00～15:45 (L.O.),～￥999,無,10席,無
超多加水自家製手揉み麺 きたかた食堂,千代田区神田神保町1-6 神保町サンビルディング 1F,千代田区,3.69,812,23701,【平日】　11:00～21:00【土日祝】11:00～20:00,【平日】　11:00～21:00【土日祝】11:00～20:00,～￥999,無,15席,無
四川料理 龍の子,渋谷区神宮前1-8-5 メナー神宮前 B1Ｆ,渋谷区,3.69,736,53738,※営業日・営業時間は、変更になることがございます。ホームページやFacebook、Instagram等で最新情報をご確認ください。※料理教室はしばらくの間お休み。[月・火・木・金・土（第２土曜日料理教室）・祝]11:30～15:00(L.O.14:30) 17:30～21:30(入店20:30まで/20:45 LO)　※第二土曜日ディナーは、１８：００オープン,※営業日・営業時間は、変更になることがございます。ホームページやFacebook、Instagram等で最新情報をご確認ください。※料理教室はしばらくの間お休み。[月・火・木・金・土（第２土曜日料理教室）・祝]11:30～15:00(L.O.14:30) 17:30～21:30(入店20:30まで/20:45 LO)　※第二土曜日ディナーは、１８：００オープン,"￥6,000～￥7,999",無,29席,無
ただいま変身中,中野区中野5-53-3 松本ビル 101,中野区,3.69,721,31051,【月曜～日曜】＜ランチ＞11:00～15:30（LO 15 :10）＜ディナー＞17:00～21:15（LO 21:00）【祝日】＜ランチ＞11:00～15:30（LO 15:10）＜ディナー＞17:00～20:00（LO 19:40）1月3日より通常通り営業しております！,【月曜～日曜】＜ランチ＞11:00～15:30（LO 15 :10）＜ディナー＞17:00～21:15（LO 21:00）【祝日】＜ランチ＞11:00～15:30（LO 15:10）＜ディナー＞17:00～20:00（LO 19:40）1月3日より通常通り営業しております！,～￥999,無,11席,無
ラーメン燈郎（とうろう）,葛飾区東新小岩1-1-1,葛飾区,3.69,683,17178,【月～日】11:30～15:00／18:00～22:00,【月～日】11:30～15:00／18:00～22:00,～￥999,無,11席,無
喜多方食堂 浅草本店,台東区元浅草4-7-15 中澤第1ビル 1F,台東区,3.69,614,15862,月〜日　7:00～15:00（朝ラー営業中）※スープがなくなりましたら早期終了致します。,月〜日　7:00～15:00（朝ラー営業中）※スープがなくなりましたら早期終了致します。,～￥999,無,22席,無
ラーメン二郎 上野毛店（らーめんじろう）,世田谷区上野毛1-26-16,世田谷区,3.69,562,8288,[月～金]11:00～14:15 18:00～22:00 [土]11:00～14:30,[月～金]11:00～14:15 18:00～22:00 [土]11:00～14:30,～￥999,無,11席,無
バサノバ（BASSANOVA）,世田谷区羽根木1-4-18 新代田たちばな荘 1F,世田谷区,3.69,506,25211,[全日]11:00～22:00(21:45L.O.）,[全日]11:00～22:00(21:45L.O.）,"￥1,000～￥1,999",無,14席,無
麺汁食膳 好日（こうじつ）,中野区東中野1-53-7 ＭＫハウス 1Ｆ,中野区,3.69,502,16413,11:30～14:30 17:30～20:30,11:30～14:30 17:30～20:30,～￥999,無,22席,無
中華蕎麦 無冠,品川区西五反田2-6-1 石塚ビル 1F,品川区,3.69,476,16499,前日21:00に翌日の営業時間をXで発表。下記のパターンが多いがこれに限らない昼11:00～14:30夜18:00～21:30,前日21:00に翌日の営業時間をXで発表。下記のパターンが多いがこれに限らない昼11:00～14:30夜18:00～21:30,"￥1,000～￥1,999",無,6席,無
Ramen Afro Beats,新宿区新宿1-16-10,新宿区,3.69,470,13844,[火～土]11:00～14:3017:30～20:00[日]11:00～16:00,[火～土]11:00～14:3017:30～20:00[日]11:00～16:00,"￥1,000～￥1,999",無,10席,無
ラーメン二郎 立川店（らーめんじろう）,立川市柴崎町2-10-1,立川市,3.69,416,5010,昼11:00～14:30夜17:30～20:30,昼11:00～14:30夜17:30～20:30,～￥999,無,12席,無
輝道家（キドウヤ）,中野区野方5-24-6 松金ビル 1F,中野区,3.69,382,13196,[月～日]11:00～21:00,[月～日]11:00～21:00,～￥999,無,10席,無
広尾はしづめ,港区南麻布5-16-10 カルチェブラン広尾 2F,港区,3.69,381,37124,11:30～15:00　(L.O.14:30) 18:00～22:30　(L.O.21:00),11:30～15:00　(L.O.14:30) 18:00～22:30　(L.O.21:00),"￥5,000～￥5,999",無,20席,無
RAMEN MATSUI,新宿区四谷4-25-10 ダイアパレス御苑前 B-2,新宿区,3.69,347,12994,[平日]11:00～15:00[土・日・祝]11:00～16:00※平日は15:00、土日祝は16:00迄にご来店、もしくはお並びいただければご提供可能です。味によって売り切れの可能性もありますので予めご了承ください。,[平日]11:00～15:00[土・日・祝]11:00～16:00※平日は15:00、土日祝は16:00迄にご来店、もしくはお並びいただければご提供可能です。味によって売り切れの可能性もありますので予めご了承ください。,"￥1,000～￥1,999",無,8席,無
ワンタンメンの満月 三鷹店,三鷹市下連雀4-16-15 東洋三鷹コーポ 104,三鷹市,3.69,341,19400,11:30～19:30(L.O.),11:30～19:30(L.O.),～￥999,無,24席,無
中華そば 心（麺処 こころ）,府中市清水が丘3-29-3,府中市,3.69,308,7447,[月]11:00～15:00[木～日]11:00～15:0018:00～21:00,[月]11:00～15:00[木～日]11:00～15:0018:00～21:00,"￥1,000～￥1,999",無,6席,無
麺尊RAGE RENEGADES（麺尊レイジ レネゲイズ）,小平市花小金井2-18-17,小平市,3.69,287,6919,【月〜金】11:00～15:00 18:00～21:00（L.O.閉店5分前）【土・日・祝】11:00～21:00（L.O.閉店5分前）,【月〜金】11:00～15:00 18:00～21:00（L.O.閉店5分前）【土・日・祝】11:00～21:00（L.O.閉店5分前）,"￥1,000～￥1,999",有,22席,有
煮干し中華そば 山形屋,足立区竹の塚3-5-1,足立区,3.69,261,8755,[火～金]11:00～14:30［土］11:00～14:30 17:00～19:45[日]11:00～14:30 17:00～19:30,[火～金]11:00～14:30［土］11:00～14:30 17:00～19:45[日]11:00～14:30 17:00～19:30,"￥1,000～￥1,999",有,11席,有
麺家 龍（Ryo）,杉並区荻窪4-32-8 パインマンション荻窪 1F,杉並区,3.69,254,8225,[火～土]11:00～15:0017:00～20:00[日]11:00～16:00,[火～土]11:00～15:0017:00～20:00[日]11:00～16:00,"￥1,000～￥1,999",無,8席,無
DURAMENTEI（ドゥラメンテイ）,江東区亀戸3-45-15 鈴木ビル 1F,江東区,3.69,250,9127,[月・木・日]11:00～15:00[水・金・土]11:00～15:0017:00～20:30,[月・木・日]11:00～15:00[水・金・土]11:00～15:0017:00～20:30,"￥1,000～￥1,999",無,7席,無
麺 みつヰ,台東区寿2-9-15,台東区,3.69,247,7704,[火～金]11:00～14:3018:00～20:00[土]11:00～16:00,[火～金]11:00～14:3018:00～20:00[土]11:00～16:00,"￥1,000～￥1,999",無,10席,無
佐々木製麺所,杉並区西荻窪北4-26-10 山愛コーポラス 104,杉並区,3.69,193,8371,11:00～15:00,11:00～15:00,"￥1,000～￥1,999",無,8席,無
中華そばや 和凡,清瀬市松山1-20-4,清瀬市,3.69,189,5030,11:30～14:3017:30～21:00,11:30～14:3017:30～21:00,～￥999,無,7席,無
たかのちゅめ,小平市花小金井1-6-32 共立ビル 1F,小平市,3.69,151,4048,[月・火・木・金・土・日・祝]11:00～14:30(L.O.14:20)18:00～21:00(L.O.20:50),[月・火・木・金・土・日・祝]11:00～14:30(L.O.14:20)18:00～21:00(L.O.20:50),～￥999,無,19席,無
オールドラーメンショップ 逆流,北区西が丘3-1-3 1F,北区,3.69,149,5892,[月・水・木・金]11:00～15:00[土・日・祝]11:00～16:00(L.O.15:30),[月・水・木・金]11:00～15:00[土・日・祝]11:00～16:00(L.O.15:30),～￥999,無,17席,無
たなか青空笑店（【旧店名】麺処 たなか笑店）,西東京市東伏見1-1-18,西東京市,3.69,142,3283,11:00～15:0018:00～21:00(L.O.20:45),11:00～15:0018:00～21:00(L.O.20:45),～￥999,無,情報なし席,無
龍朋（りゅうほう）,新宿区矢来町123 第一矢来ビル Ｂ１,新宿区,3.68,2034,99518,[月～土]11:00～22:00,[月～土]11:00～22:00,～￥999,無,30席,無
焼きあご塩らー麺 たかはし 新宿本店,新宿区歌舞伎町1-27-3 KKビル 1F,新宿区,3.68,2023,54982,平日　11:00～23:30(LO23:20)土日祝10:00～23:30(LO23:20),平日　11:00～23:30(LO23:20)土日祝10:00～23:30(LO23:20),～￥999,無,13席,無
真鯛らーめん 麺魚 本店,墨田区江東橋2-8-8 パークサイドマンション 1F,墨田区,3.68,1860,64107,11:00～21:00,11:00～21:00,"￥1,000～￥1,999",無,16席,無
らぁめん ほりうち 新橋店,港区新橋3-19-4 桜井ビル 1F,港区,3.68,1566,31851,[月～金]   7:00～翌3:00[土] 11:00～翌3:00[日・祝] 11:00～23:00,[月～金]   7:00～翌3:00[土] 11:00～翌3:00[日・祝] 11:00～23:00,"￥1,000～￥1,999",無,22席,無
らーめん 潤 蒲田店（らーめん じゅん）,大田区蒲田5-20-7,大田区,3.68,1469,35123,[月～木・日・祝]10:00～24:00(L.O.23:45)[金・土]10:00～25:00(L.O.24:45),[月～木・日・祝]10:00～24:00(L.O.23:45)[金・土]10:00～25:00(L.O.24:45),"￥1,000～￥1,999",無,16席,無
餃子の王さま（ギョウザノオウサマ）,台東区浅草1-30-8,台東区,3.68,1417,81569,[平日]11:15〜14:00(L.O)16:00〜20:00(L.O)[土・日]11:15〜20:00(L.O),[平日]11:15〜14:00(L.O)16:00〜20:00(L.O)[土・日]11:15〜20:00(L.O),"￥1,000～￥1,999",無,31席,無
ラーメン二郎 池袋東口店（らーめんじろう）,豊島区南池袋2-27-17 １Ｆ,豊島区,3.68,1123,15316,[火～日]10:30～16:30,[火～日]10:30～16:30,～￥999,無,13席,無
ちばき屋（ちばきや）,江戸川区東葛西6-15-2,江戸川区,3.68,850,22252,[月～金] 11:30～14:4517:00～22:00[土・日・祝]11:30～22:00,[月～金] 11:30～14:4517:00～22:00[土・日・祝]11:30～22:00,"￥1,000～￥1,999",無,23席,無
亀戸ぎょうざ 両国支店,墨田区両国4-34-10,墨田区,3.68,750,25939,[月～金]11:30～15:00(L.O14:40)17:00～21:00(L.O20:40)[土日祝日]11:00～21:00(L.O20:40(餃子が無くなり次第終了),[月～金]11:30～15:00(L.O14:40)17:00～21:00(L.O20:40)[土日祝日]11:00～21:00(L.O20:40(餃子が無くなり次第終了),"￥1,000～￥1,999",無,29席,無
らぁ麺 くろ渦,新宿区新宿3-7-8,新宿区,3.68,729,19309,11:00～23:00,11:00～23:00,"￥1,000～￥1,999",無,15席,無
鳥政（とりまさ）,港区南青山3-13-2 山川ビル　１Ｆ,港区,3.68,701,58875,[月～土]11:30～14:0017:00～23:00(L.O.22:00),[月～土]11:30～14:0017:00～23:00(L.O.22:00),"￥6,000～￥7,999",無,10席,無
麺や 麦ゑ紋（ムギエモン）,新宿区西新宿7-4-6 ストーク新宿井岡 1F,新宿区,3.68,675,30273,11:00～23:00,11:00～23:00,～￥999,無,23席,無
らーめん 福籠,台東区柳橋1-13-4 丹羽ビル １Ｆ,台東区,3.68,666,22502,11:00～15:00（L.O.14:30）18:00～22:00（L.O.21:30）,11:00～15:00（L.O.14:30）18:00～22:00（L.O.21:30）,～￥999,無,18席,無
中華そば ふくもり 駒沢本店,世田谷区野沢4-9-18,世田谷区,3.68,641,18096,［月～水・金］11:00～15:0017:00～22:30［土・日・祝］11:00～16:0017:00～22:30,［月～水・金］11:00～15:0017:00～22:30［土・日・祝］11:00～16:0017:00～22:30,～￥999,無,23席,無
かね田（KANEDA）,千代田区丸の内2-7-2 JPタワー B1F,千代田区,3.68,619,24613,［平日］11:00～22:00（L.O.21:30）［土日祝］11:00～21:00（L.O.20:30）,［平日］11:00～22:00（L.O.21:30）［土日祝］11:00～21:00（L.O.20:30）,"￥1,000～￥1,999",有,16席,有
臥龍（がりゅう）,世田谷区三軒茶屋1-35-3 山田体育施設ビル　１Ｆ,世田谷区,3.68,617,22670,［月・木・金・土・日・祝］12:00～14:3018:00～22:00［水］18:00～22:00,［月・木・金・土・日・祝］12:00～14:3018:00～22:00［水］18:00～22:00,"￥1,000～￥1,999",無,10席,無
はすの里 新御徒町本店（【旧店名】いなかむら）,台東区台東4-3-1,台東区,3.68,566,40221,ランチ11:30～14:30  (LO14:00) カード使用不可ディナー17:30～22:00(LO21:00)カード使用可※土曜日・日曜日・祝日はランチ営業しておりません。定休日：火曜日ご予約は2名様より承ります。,ランチ11:30～14:30  (LO14:00) カード使用不可ディナー17:30～22:00(LO21:00)カード使用可※土曜日・日曜日・祝日はランチ営業しておりません。定休日：火曜日ご予約は2名様より承ります。,"￥3,000～￥3,999",無,27席,無
麺屋 優創,新宿区百人町2-19-11 サニーコープ エトナ1F,新宿区,3.68,521,14016,11:30～20:00（L.O.19:30）,11:30～20:00（L.O.19:30）,～￥999,無,21席,無
らーめん 七彩飯店,中央区八重洲2-1 八重洲地下街 八重洲地下2番通り,中央区,3.68,521,12096,11:00～22:00,11:00～22:00,"￥1,000～￥1,999",無,18席,無
ラーメン二郎 環七新新代田店（らーめんじろう）,世田谷区代田5-29-5 櫻井ビル 1F,世田谷区,3.68,488,7998,[火～日]11:00～15:00,[火～日]11:00～15:00,～￥999,無,8席,無
いつみ屋（いつみや）,府中市本町1-7-2,府中市,3.68,478,11075,[月・木・金]10:40～15:3017:00～20:00 [土・日・祝]10:40～15:30,[月・木・金]10:40～15:3017:00～20:00 [土・日・祝]10:40～15:30,～￥999,無,9席,無
馥香 浅草橋本店（フーシャン アサクサバシホンテン）,台東区柳橋2-14-2 アリス・マナーガーデン浅草橋　１Ｆ,台東区,3.68,478,25027,[月～土]11:30～14:30(L.O.14:00)17:30～23:00(L.O.21:30),[月～土]11:30～14:30(L.O.14:00)17:30～23:00(L.O.21:30),"￥6,000～￥7,999",無,46席,無
麺創研 紅（くれない）,府中市宮町1-100,府中市,3.68,478,13190,11:00～22:30 ⭕中休みナシ・通し営業,11:00～22:30 ⭕中休みナシ・通し営業,～￥999,無,23席,無
Homemade Ramen 青麦（ホームメイド ラーメン アオムギ）,大田区大森北2-4-8 宏和ハイツ 1F,大田区,3.68,474,11261,[月～日]11:00～14:30(L.O.)18:00～21:00(L.O.),[月～日]11:00～14:30(L.O.)18:00～21:00(L.O.),"￥1,000～￥1,999",無,9席,無
ラーメン富士丸 神谷本店（らーめんふじまる【旧店名】ラーメン○二郎 らーめんまるじろう）,北区神谷3-29-11,北区,3.68,444,19843,[火～日]18:00～24:00,[火～日]18:00～24:00,～￥999,無,20席,無
味噌麺処 田坂屋,豊島区西池袋3-30-2 フェリース西池袋 1F,豊島区,3.68,441,15006,11:00～21:00,11:00～21:00,～￥999,無,9席,無
setouchi noodle ねいろ屋,杉並区天沼3-6-24,杉並区,3.68,440,25924,最新の情報はTwitterをご覧ください。[月～金]11:30～20:30[土・日・祝]11:30〜20:30,最新の情報はTwitterをご覧ください。[月～金]11:30～20:30[土・日・祝]11:30〜20:30,"￥1,000～￥1,999",無,10席,無
横濱ラーメン あさが家,杉並区阿佐谷北1-26-5 1F,杉並区,3.68,433,10136,11:00～翌1:00『16:00〜17:00はスープの仕込み休憩です。』スープなくなり次第終了。,11:00～翌1:00『16:00〜17:00はスープの仕込み休憩です。』スープなくなり次第終了。,～￥999,無,16席,無
麺処 まるよし商店,練馬区桜台1-3-10,練馬区,3.68,432,13715,11:00～15:30（閉店時間前にスープ終了の可能性あり）,11:00～15:30（閉店時間前にスープ終了の可能性あり）,～￥999,無,8席,無
丸 中華そば,品川区大井1-20-20,品川区,3.68,427,18622,［月～金］11:30～15:00 18:00～20:00［土］11:30～15:00,［月～金］11:30～15:00 18:00～20:00［土］11:30～15:00,"￥1,000～￥1,999",無,9席,無
MENYA NAKAGAWA（メンヤ ナカガワ）,豊島区池袋2-38-7,豊島区,3.68,422,12697,2022年12月11:00～21:00,2022年12月11:00～21:00,"￥1,000～￥1,999",無,情報なし席,無
ラーメン二郎 西台駅前店,板橋区蓮根3-9-7,板橋区,3.68,415,5962,[月・火・木・金]11:00～13:3017:30～20:30[水]11:30～13:30[土]9:30～12:30,[月・火・木・金]11:00～13:3017:30～20:30[水]11:30～13:30[土]9:30～12:30,～￥999,無,11席,無
麺屋翔 みそ処,新宿区西新宿7-19-9,新宿区,3.68,395,9603,[月～日]11:00～15:00 / 18:00～22:00（LO21：45）材料切れ次第　終了　詳細はtwitterにて年末年始の営業のお知らせです。31日　通常営業　（材料切れ次第終了）1日　お休み２日　お休み3日　通常営業,[月～日]11:00～15:00 / 18:00～22:00（LO21：45）材料切れ次第　終了　詳細はtwitterにて年末年始の営業のお知らせです。31日　通常営業　（材料切れ次第終了）1日　お休み２日　お休み3日　通常営業,～￥999,無,12席,無
自家製麺 伊藤 神田駅前店,千代田区鍛冶町2-12-13,千代田区,3.68,395,9183,［月～金］11:00～24:00［土・日・祝］11:00～20:00,［月～金］11:00～24:00［土・日・祝］11:00～20:00,～￥999,無,7席,無
背脂煮干中華そば 和市,港区新橋3-14-6 駒場ビル 1F,港区,3.68,386,11429,11:00〜15:0017:00〜21:00,11:00〜15:0017:00〜21:00,～￥999,無,11席,無
BASSO 江戸川橋（バッソ）,新宿区山吹町130-15,新宿区,3.68,383,11986,火～土曜11:30～15:30 / 18:00～21:00（LO20:45）日曜11:30～15:30,火～土曜11:30～15:30 / 18:00～21:00（LO20:45）日曜11:30～15:30,"￥1,000～￥1,999",無,10席,無
麺屋 愛心 町屋店,荒川区荒川7-39-3 シティハイム町屋 1F,荒川区,3.68,378,16623,11:00～15:00 17:30～22:00,11:00～15:00 17:30～22:00,"￥1,000～￥1,999",無,情報なし席,無
中華そば わた井,足立区谷中2-9-2,足立区,3.68,372,7925,11:00～15:0018:00～20:00,11:00～15:0018:00～20:00,"￥1,000～￥1,999",無,10席,無
北千住煮干中華蕎麦 かれん,足立区千住2-52,足立区,3.68,368,7678,[月・水・金]11:00～15:0018:00～23:00(22:45L.O)[火・木・土・日・祝]11:00～23:00(22:45L.O),[月・水・金]11:00～15:0018:00～23:00(22:45L.O)[火・木・土・日・祝]11:00～23:00(22:45L.O),"￥1,000～￥1,999",無,7席,無
二階堂,千代田区九段北1-9-14,千代田区,3.68,367,13292,[月～金]11:00～15:00／18:00〜20:30[土]11:30～15:00スープ・材料が無くなり次第終了,[月～金]11:00～15:00／18:00〜20:30[土]11:30～15:00スープ・材料が無くなり次第終了,"￥1,000～￥1,999",無,12席,無
Nii,豊島区南大塚3-46-5 中島第3ビル 1F,豊島区,3.68,366,17910,[月・水・木・金・土・日]11:00～15:0017:00～21:00,[月・水・木・金・土・日]11:00～15:0017:00～21:00,"￥1,000～￥1,999",無,12席,無
富白,台東区台東3-14-10,台東区,3.68,363,13582,,,～￥999,無,11席,無
らぁめん 一福（いちふく）,渋谷区本町2-17-14 小泉ビル 1F,渋谷区,3.68,356,27021,[ 水 木 ]  11:30～14:00 L.O[ 土 日 ]  11:30～14:00 L.O,[ 水 木 ]  11:30～14:00 L.O[ 土 日 ]  11:30～14:00 L.O,～￥999,無,13席,無
支那そば いしはら,杉並区西荻北3-22-22,杉並区,3.68,355,12799,[月・水・木・金]11:30～15:0018:00～21:00[土・日・祝]11:30～21:00,[月・水・木・金]11:30～15:0018:00～21:00[土・日・祝]11:30～21:00,"￥1,000～￥1,999",無,7席,無
らーめん 楓（かえで）,八王子市大和田町5-10-1,八王子市,3.68,348,7088,［月曜日〜金曜日］11:00〜15:30(L.O)17:30〜22:00(L.O)［土・日・祝］11:00〜21:00,［月曜日〜金曜日］11:00〜15:30(L.O)17:30〜22:00(L.O)［土・日・祝］11:00〜21:00,～￥999,有,18席,有
トーキョーニューミクスチャーヌードル 八咫烏 CHIKARABO（ヤタガラス チカラボ）,千代田区神田三崎町3-7-13 三大ビル B1F,千代田区,3.68,327,11282,［月～金]11:00～15:00(L.O.14:45)18:00～21:00(L.O.20:45)［土]11:00～15:00(L.O.14:45),［月～金]11:00～15:00(L.O.14:45)18:00～21:00(L.O.20:45)［土]11:00～15:00(L.O.14:45),"￥1,000～￥1,999",無,16席,無
ビンギリ,杉並区桃井1-12-16,杉並区,3.68,320,24118,12:00～14:30,12:00～14:30,～￥999,無,7席,無
手打ち中華そば 竹の助,町田市三輪町165-2,町田市,3.68,306,7226,11:00～15:00(2022年7月から営業時間が変わりました。夜の営業はございません),11:00～15:00(2022年7月から営業時間が変わりました。夜の営業はございません),～￥999,有,8席,有
手打ち正麺 Hachimitsu（八光）,品川区西五反田1-33-10 サインタワー B1F,品川区,3.68,288,6458,[月～土］11:45～15:00(L.O.)17:30～21:00(L.O.),[月～土］11:45～15:00(L.O.)17:30～21:00(L.O.),"￥1,000～￥1,999",無,13席,無
元祖一条流 がんこラーメン 立川たま館分店,立川市錦町1-2-16 立川アーバンホテル 立川らーめんたま館,立川市,3.68,251,5105,11:00～23:00,11:00～23:00,"￥1,000～￥1,999",無,8席,無
ラーメン二郎 めじろ台店,八王子市椚田町513-9,八王子市,3.68,245,3951,［月・火・水・金・土］11:00～14:3017:30～20:30［日］11:00～15:00,［月・火・水・金・土］11:00～14:3017:30～20:30［日］11:00～15:00,～￥999,有,18席,有
タナカ ロボ（TANAKA.LOBO）,世田谷区桜3-8-15,世田谷区,3.68,239,12138,[水～日］11:00～16:00,[水～日］11:00～16:00,～￥999,無,6席,無
らーめん凛々,福生市熊川1655-3,福生市,3.68,227,5131,11:00～14:00,11:00～14:00,"￥1,000～￥1,999",有,5席,有
自家製麺 福は内,新宿区住吉町6-12 井上第3ビル,新宿区,3.68,198,6358,11:00～15:0017:00～21:00,11:00～15:0017:00～21:00,～￥999,無,5席,無
La Maison du Ramen ビスク（ラ メゾン デュ ラーメン）,北区東十条4-10-6 グリーンコーポ 101,北区,3.68,190,10800,[水・木・土・日]11:30～15:00(L.O.)［金］11:30～14:30(L.O.) 17:30～20:30(L.O.),[水・木・土・日]11:30～15:00(L.O.)［金］11:30～14:30(L.O.) 17:30～20:30(L.O.),"￥1,000～￥1,999",無,6席,無
しおらーめん進化 2nd,町田市大蔵町337-1 第二工藤ビル 1F,町田市,3.68,181,3528,11:30〜15:00 18:00〜22:00,11:30〜15:00 18:00〜22:00,"￥1,000～￥1,999",有,20席,有
中華蕎麦 麺とスープ,福生市本町86,福生市,3.68,159,3140,10:00～21:00麺、スープが無くなり次第終了,10:00～21:00麺、スープが無くなり次第終了,"￥1,000～￥1,999",無,8席,無
東京アンダーグラウンドラーメン 頑者（TOKYO UNDERGROUND RAMEN 頑者）,豊島区西池袋1-1-30 東武ホープセンター B1F,豊島区,3.67,1322,28935,10:00～22:00,10:00～22:00,～￥999,有,24席,有
味噌屋 八郎商店 新宿店,新宿区西新宿7-5-5 プラザ西新宿 102,新宿区,3.67,1110,34655,11:00～23:00（ラストオーダー 23:00）※麺・スープが無くなり次第営業終了となります。ご了承ください。,11:00～23:00（ラストオーダー 23:00）※麺・スープが無くなり次第営業終了となります。ご了承ください。,～￥999,無,12席,無
浅草名代らーめん 与ろゐ屋（Asakusa Ramen Yoroiya）,台東区浅草1-36-7,台東区,3.67,944,35858,年中無休※2/15(木)16(金)はメンテナンス工事の為臨時休業いたします※全日　　　11:00～21:00 閉店 L.O.20:30,年中無休※2/15(木)16(金)はメンテナンス工事の為臨時休業いたします※全日　　　11:00～21:00 閉店 L.O.20:30,～￥999,無,32席,無
ラーメン 雷 東京本丸店,千代田区丸の内1-9-1 グランスタ東京 1F,千代田区,3.67,918,18400,［月～土］8:00～21:30［日・祝］8:00～20:30,［月～土］8:00～21:30［日・祝］8:00～20:30,"￥1,000～￥1,999",無,11席,無
六厘舎 大崎店,品川区大崎2-11 大崎ウィズシティ 1F,品川区,3.67,879,16308,[月～金]11:00～23:00(L.O.22:30)[土・日・祝]11:00～22:30(L.O.22:00),[月～金]11:00～23:00(L.O.22:30)[土・日・祝]11:00～22:30(L.O.22:00),"￥1,000～￥1,999",無,26席,無
づゅる麺 池田,目黒区目黒1-6-12,目黒区,3.67,823,24045,11:30～15:00頃,11:30～15:00頃,～￥999,無,8席,無
博多長浜らーめん ぼたん 大塚本店,豊島区北大塚2-12-3 ドルミ大塚 1F,豊島区,3.67,759,19283,11:00～翌2:00,11:00～翌2:00,～￥999,無,26席,無
中華そば 高はし,千代田区飯田橋3-11-30 千代田街ビル　１Ｆ,千代田区,3.67,731,20539,［月～金］11:30～14:0017:00～売り切れ次第終了［土］11:30～18:00,［月～金］11:30～14:0017:00～売り切れ次第終了［土］11:30～18:00,"￥1,000～￥1,999",無,9席,無
Renge no Gotoku（レンゲノゴトク）,渋谷区桜丘町16-7 鈴木ビル 1F,渋谷区,3.67,666,33208,11:00〜19:00,11:00〜19:00,～￥999,無,16席,無
宍道湖しじみ中華蕎麦 琥珀 池袋店,豊島区池袋2-48-7 アパホテル 池袋駅北口 1F,豊島区,3.67,566,14960,11:00〜15:0018:00〜22:00（最終入店 21:30）,11:00〜15:0018:00〜22:00（最終入店 21:30）,"￥1,000～￥1,999",有,19席,有
本田麺業 神田西口駅前店,千代田区内神田3-7-8 サトウハウスビル 1F,千代田区,3.67,547,17679,[月～日]11:00～22:00,[月～日]11:00～22:00,"￥1,000～￥1,999",無,18席,無
信濃神麺 烈士洵名（しなのしんめんれっしじゅんめい）,文京区西片1-15-6,文京区,3.67,526,15204,11:00～15:00 18:00～翌2:00,11:00～15:00 18:00～翌2:00,～￥999,無,14席,無
らぁめん 生姜は文化。,文京区本駒込6-6-2 沢谷ビル1F,文京区,3.67,508,18171,[月～金]11:00～15:0017:00～20:00[土・日・祝]11:00～20:00,[月～金]11:00～15:0017:00～20:00[土・日・祝]11:00～20:00,～￥999,無,13席,無
麺屋 味方,港区新橋4-6-10,港区,3.67,504,18820,,,～￥999,無,6席,無
インディアン 本店,大田区西蒲田6-26-3 SSビル 1F,大田区,3.67,448,26544,,,"￥1,000～￥1,999",無,17席,無
自家製麺つけそば 九六,狛江市東和泉3-7-9,狛江市,3.67,442,15046,[火・水・木]11:30～15:0018:00～20:00[金・土]11:30～15:00※スープ、麺が終了次第閉店,[火・水・木]11:30～15:0018:00～20:00[金・土]11:30～15:00※スープ、麺が終了次第閉店,～￥999,有,10席,有
